aX,aY,aZ,gX,gY,gZ
0.322,0.585,-0.746,-32.532,-17.334,-11.23
0.323,0.573,-0.728,-30.029,-16.663,-12.817
0.319,0.573,-0.714,-26.489,-15.869,-14.526
0.324,0.583,-0.713,-23.437,-13.489,-16.479
0.32,0.577,-0.729,-20.142,-10.315,-17.578
0.309,0.552,-0.745,-18.066,-6.592,-18.25
0.298,0.541,-0.748,-15.747,-4.089,-19.226
0.297,0.543,-0.749,-14.343,-2.808,-19.714
0.291,0.548,-0.752,-12.268,-2.136,-19.47
0.283,0.522,-0.767,-7.874,-1.953,-18.127
0.272,0.529,-0.775,0.854,-3.54,-16.479
0.299,0.525,-0.791,7.874,-6.836,-16.235
0.3,0.507,-0.808,16.846,-10.986,-16.174
0.306,0.515,-0.821,27.283,-14.099,-17.822
0.328,0.509,-0.854,32.104,-13.611,-18.616
0.329,0.514,-0.885,33.691,-10.254,-17.517
0.356,0.513,-0.919,36.011,-4.7,-15.93
0.389,0.494,-0.988,36.743,0.061,-14.404
0.412,0.506,-1.042,29.968,6.226,-16.296
0.414,0.54,-1.071,18.738,12.329,-19.348
0.404,0.536,-1.11,13.062,15.259,-22.217
0.4,0.542,-1.126,13,14.648,-25.085
0.416,0.475,-1.175,17.761,10.254,-28.564
0.412,0.404,-1.271,11.292,8.423,-35.583
0.386,0.434,-1.307,-9.094,10.742,-44.128
0.33,0.359,-1.352,-31.006,13.428,-47.668
0.313,0.265,-1.35,-46.814,16.541,-49.316
-1.329,0.28,2.079,171.753,-53.406,125.916
-1.604,1.181,2.726,219.177,-48.645,154.846
-1.831,2.115,3.099,275.635,-41.138,203.613
-2.063,3.06,3.307,314.026,-11.841,268.25
-2.264,3.998,3.264,339.172,24.78,344.849
-2.177,4,2.529,358.154,81.726,430.542
-1.572,4,1.019,361.328,171.692,523.437
-0.434,4,-0.664,331.055,258.484,609.497
0.831,4,-2.196,281.921,270.081,600.891
2.698,4,-3.706,224.06,200.256,481.079
3.558,3.994,-3.635,101.685,44.373,241.699
2.8,3.701,-1.624,-128.906,-119.69,-71.716
1.119,3.05,0.821,-286.926,-207.092,-348.816
-0.57,2.229,2.487,-277.344,-237.427,-552.917
-1.615,1.232,2.617,-137.695,-230.53,-635.681
-2.037,0.519,1.67,-3.174,-168.884,-549.927
-2.022,0.428,0.729,6.958,-37.292,-365.479
-1.738,0.582,0.325,-84.351,116.394,-159.79
-1.316,0.804,0.402,-186.462,220.581,0.854
-0.859,1.05,0.599,-240.54,235.046,87.036
-0.498,1.18,0.743,-234.436,174.438,95.703
-0.291,1.151,0.753,-192.017,90.698,40.1
-0.257,1.025,0.654,-142.456,18.555,-40.588
-0.359,0.855,0.524,-100.403,-32.288,-113.098
-0.456,0.71,0.355,-72.632,-58.899,-159.485
-0.494,0.582,0.194,-67.505,-56.763,-176.392
-0.534,0.424,0.088,-76.355,-33.63,-170.044
-0.526,0.283,0.026,-88.074,-7.141,-151.489
-0.446,0.162,-0.039,-94.238,9.705,-126.77
-0.33,0.106,-0.118,-90.027,17.761,-100.342
-0.185,0.091,-0.249,-77.576,24.475,-79.468
-0.084,0.089,-0.413,-64.392,34.302,-66.589
0.005,0.13,-0.576,-54.382,41.138,-60.608
0.052,0.181,-0.732,-49.011,40.283,-59.753
0.069,0.253,-0.848,-48.035,33.752,-64.087
0.06,0.307,-0.923,-52.49,23.987,-72.021
0.025,0.339,-0.962,-59.937,11.047,-80.2
-0.02,0.33,-0.972,-66.833,-5.066,-86.548
-0.061,0.307,-0.952,-69.641,-23.376,-88.623
-0.078,0.282,-0.895,-65.063,-40.283,-84.961
